sample_size,top-1,top-5,top-10,top-25,top-50,top-100,model_dir
90060,0.00909090909090909,0.02727272727272727,0.045454545454545456,0.09090909090909091,0.15454545454545454,0.2909090909090909,<built-in function dir>
94563,0.00909090909090909,0.03636363636363636,0.06363636363636363,0.17272727272727273,0.3,0.42727272727272725,<built-in function dir>
99066,0.00909090909090909,0.02727272727272727,0.05454545454545454,0.13636363636363635,0.2636363636363636,0.4090909090909091,<built-in function dir>
103569,0.00909090909090909,0.01818181818181818,0.03636363636363636,0.09090909090909091,0.18181818181818182,0.4090909090909091,<built-in function dir>
108072,0,0.00909090909090909,0.01818181818181818,0.06363636363636363,0.20909090909090908,0.42727272727272725,<built-in function dir>
112575,0.01818181818181818,0.045454545454545456,0.06363636363636363,0.18181818181818182,0.2818181818181818,0.4090909090909091,<built-in function dir>
117078,0.00909090909090909,0.06363636363636363,0.08181818181818182,0.15454545454545454,0.2545454545454545,0.4,<built-in function dir>
121581,0.01818181818181818,0.01818181818181818,0.03636363636363636,0.10909090909090909,0.2636363636363636,0.45454545454545453,<built-in function dir>
126084,0,0.01818181818181818,0.045454545454545456,0.13636363636363635,0.2727272727272727,0.4818181818181818,<built-in function dir>
130587,0,0.045454545454545456,0.06363636363636363,0.17272727272727273,0.32727272727272727,0.5272727272727272,<built-in function dir>
135090,0,0.02727272727272727,0.045454545454545456,0.11818181818181818,0.20909090909090908,0.4090909090909091,<built-in function dir>
139593,0.00909090909090909,0.03636363636363636,0.06363636363636363,0.15454545454545454,0.2818181818181818,0.42727272727272725,<built-in function dir>
144096,0.00909090909090909,0.00909090909090909,0.045454545454545456,0.17272727272727273,0.3090909090909091,0.4818181818181818,<built-in function dir>
148599,0.00909090909090909,0.01818181818181818,0.045454545454545456,0.12727272727272726,0.24545454545454545,0.38181818181818183,<built-in function dir>
153102,0.02727272727272727,0.045454545454545456,0.07272727272727272,0.15454545454545454,0.2727272727272727,0.4818181818181818,<built-in function dir>
157605,0,0.045454545454545456,0.08181818181818182,0.15454545454545454,0.23636363636363636,0.42727272727272725,<built-in function dir>
162108,0.01818181818181818,0.05454545454545454,0.06363636363636363,0.12727272727272726,0.24545454545454545,0.44545454545454544,<built-in function dir>
166611,0.01818181818181818,0.05454545454545454,0.07272727272727272,0.11818181818181818,0.22727272727272727,0.4636363636363636,<built-in function dir>
171114,0.00909090909090909,0.01818181818181818,0.05454545454545454,0.09090909090909091,0.18181818181818182,0.2727272727272727,<built-in function dir>
